danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.702,0.839,-3.992,0.0439,8.1e-05,0.0,0.072,0.856,132.007,223227.0,4.0
0.755,0.832,-2.741,0.116,0.0746,1.27e-06,0.291,0.735,120.032,199693.0,4.0
0.647,0.823,-5.231,0.0762,0.0598,0.0,0.119,0.396,99.933,230333.0,4.0
0.592,0.637,-8.48,0.0992,0.562,0.0,0.13,0.565,159.701,185093.0,4.0
0.667,0.669,-6.264,0.0326,0.441,0.0023,0.215,0.947,98.264,178493.0,4.0
0.668,0.718,-4.736,0.0605,0.0165,0.0,0.104,0.345,91.993,192200.0,4.0
0.697,0.621,-6.886,0.25,0.0802,0.0,0.162,0.721,81.946,193296.0,4.0
0.495,0.762,-3.842,0.0862,0.591,0.0,0.0763,0.708,123.893,210293.0,4.0
0.702,0.875,-3.588,0.0283,0.014,0.0,0.0872,0.905,103.002,296960.0,4.0
0.827,0.576,-7.774,0.0372,0.184,0.029,0.0656,0.41,118.04,180021.0,4.0
0.579,0.776,-5.365,0.173,0.0749,0.0,0.239,0.434,136.044,229880.0,4.0
0.732,0.458,-7.225,0.0311,0.447,0.0,0.136,0.661,98.938,165387.0,4.0
0.745,0.666,-5.899,0.0566,0.159,0.0,0.302,0.708,129.995,241933.0,4.0
0.584,0.708,-10.039,0.0593,0.0264,0.00364,0.112,0.564,137.657,226200.0,4.0
0.721,0.88,-3.896,0.0454,0.191,0.0,0.0769,0.655,110.021,202907.0,4.0
